Males	Females	Sequences	P	Signif
0	1	120071	0.974468	False
0	2	11188	0.451498	False
0	3	3205	0.222112	False
0	4	1284	0.11156	False
0	5	669	0.0562625	False
0	6	301	0.0282388	False
0	7	157	0.0140271	False
0	8	102	0.00686851	False
0	9	51	0.00330498	False
0	10	29	0.00155859	False
0	11	13	0.000718626	False
0	12	12	0.000323212	False
0	13	1	0.000141484	False
0	14	2	6.01417e-05	False
0	15	1	2.47671e-05	False
0	16	0	9.85693e-06	False
0	17	0	3.78142e-06	False
0	18	0	1.39449e-06	False
0	19	0	4.92881e-07	False
0	20	0	1.66436e-07	False
0	21	0	5.35085e-08	True
0	22	0	1.63168e-08	True
0	23	0	4.69988e-09	True
0	24	0	1.27296e-09	True
0	25	0	3.2259e-10	True
0	26	0	7.60678e-11	True
0	27	0	1.65887e-11	True
0	28	0	3.32301e-12	True
0	29	0	6.06848e-13	True
0	30	0	1.00142e-13	True
1	0	70296	1	False
1	1	8639	1	False
1	2	3290	0.970033	False
1	3	1501	0.577017	False
1	4	944	0.32872	False
1	5	576	0.181729	False
1	6	396	0.0979889	False
1	7	238	0.0516223	False
1	8	142	0.026577	False
1	9	100	0.0133641	False
1	10	60	0.00655702	False
1	11	36	0.00313503	False
1	12	16	0.00145843	False
1	13	7	0.000659014	False
1	14	7	0.000288705	False
1	15	3	0.000122369	False
1	16	4	5.00688e-05	False
1	17	0	1.97281e-05	False
1	18	4	7.4656e-06	False
1	19	0	2.70549e-06	False
1	20	0	9.35943e-07	False
1	21	0	3.08008e-07	False
1	22	0	9.6056e-08	True
1	23	0	2.82689e-08	True
1	24	0	7.81447e-09	True
1	25	0	2.01865e-09	True
1	26	0	4.84529e-10	True
1	27	0	1.07377e-10	True
1	28	0	2.18153e-11	True
1	29	0	4.031e-12	True
1	30	0	6.71463e-13	True
2	0	3058	0.479388	False
2	1	1854	1	False
2	2	1263	1	False
2	3	888	0.964589	False
2	4	666	0.6334	False
2	5	457	0.393771	False
2	6	374	0.234287	False
2	7	220	0.134263	False
2	8	220	0.0743774	False
2	9	133	0.0399068	False
2	10	75	0.0207552	False
2	11	76	0.0104641	False
2	12	64	0.00511155	False
2	13	52	0.00241697	False
2	14	13	0.00110483	False
2	15	12	0.000487445	False
2	16	2	0.000207175	False
2	17	7	8.46417e-05	False
2	18	1	3.31585e-05	False
2	19	0	1.24213e-05	False
2	20	1	4.43565e-06	False
2	21	0	1.50479e-06	False
2	22	0	4.83132e-07	False
2	23	0	1.46178e-07	False
2	24	0	4.14829e-08	True
2	25	0	1.09836e-08	True
2	26	0	2.69743e-09	True
2	27	0	6.10422e-10	True
2	28	0	1.26349e-10	True
2	29	0	2.37227e-11	True
2	30	0	4.00247e-12	True
3	0	618	0.244188	False
3	1	662	0.622628	False
3	2	767	1	False
3	3	579	1	False
3	4	517	0.959395	False
3	5	383	0.665375	False
3	6	361	0.436964	False
3	7	227	0.273669	False
3	8	169	0.164261	False
3	9	137	0.094793	False
3	10	148	0.0526994	False
3	11	84	0.0282534	False
3	12	42	0.0146116	False
3	13	50	0.00728738	False
3	14	34	0.00350234	False
3	15	26	0.00162012	False
3	16	23	0.000720225	False
3	17	9	0.000307108	False
3	18	1	0.000125324	False
3	19	2	4.88169e-05	False
3	20	0	1.80968e-05	False
3	21	0	6.36302e-06	False
3	22	0	2.11401e-06	False
3	23	0	6.60812e-07	False
3	24	0	1.93416e-07	False
3	25	0	5.27244e-08	True
3	26	0	1.33047e-08	True
3	27	0	3.08682e-09	True
3	28	0	6.53411e-10	True
3	29	0	1.25096e-10	True
3	30	0	2.14481e-11	True
4	0	405	0.127109	False
4	1	395	0.366683	False
