Sequence	Contig	Position	SexBias	P	Signif
4332039	CP020625.1	11036162	0	1	False
4332512	CP020624.1	26436199	-0.0967742	0.244047	False
4332751	CP020632.1	5739107	0.0225806	1	False
4333391	CP020632.1	28524893	0.088172	0.637327	False
4334383	CP020639.1	6018357	0	1	False
4334655	CP020642.1	1651016	0	1	False
4334762	CP020637.1	32708600	0.0892473	0.619679	False
4335671	CP020637.1	26890306	0	1	False
4335719	CP020642.1	9626706	0	1	False
4335773	CP020624.1	30379277	-0.125806	0.32382	False
4336362	CP020626.1	9248478	-0.104301	0.464368	False
4336477	CP020635.1	16664791	-0.124731	0.363715	False
4337046	CP020630.1	28057294	-0.116129	0.511067	False
4337457	CP020629.1	2953163	0	1	False
4337692	CP020638.1	27546676	0	1	False
4338110	CP020641.1	32143622	0.239785	0.0801592	False
4338471	CP020622.1	6068417	-0.0634409	0.622808	False
4338699	CP020621.1	10039630	0	1	False
4339659	CP020641.1	32062194	0.191398	0.0932656	False
4339863	CP020638.1	2250327	-0.0580645	0.810625	False
4340076	CP020643.1	5391329	0.208602	0.151596	False
4341959	CP020623.1	33812467	0.148387	0.363892	False
4342071	CP020644.1	8407293	0.0505376	0.886108	False
4342805	CP020627.1	24028870	0.00215054	1	False
4343495	CP020632.1	1120767	0.274194	0.049153	False
4343774	CP020644.1	17926498	-0.0645161	0.47938	False
4344298	CP020627.1	3682342	0	1	False
4345785	CP020632.1	24026322	0.00215054	1	False
4345876	CP020642.1	21048669	0.0344086	0.969025	False
4345901	CP020633.1	10403739	0	1	False
4346971	CP020625.1	26595346	0.134409	0.180461	False
4348302	CP020632.1	13586576	0	1	False
4349504	CP020643.1	17837138	-0.158064	0.201356	False
4349890	CP020623.1	8526941	0.00645161	1	False
4350600	CP020623.1	768377	0	1	False
4351052	CP020633.1	2864308	0	1	False
4351155	CP020632.1	23647483	0	1	False
4351364	CP020631.1	18604715	-0.304301	0.0178289	False
4351404	CP020634.1	21998327	0	1	False
4352490	CP020638.1	9752743	-0.269892	0.0273494	False
4354038	CP020642.1	21600222	0	1	False
4354556	CP020628.1	3831074	-0.109677	0.524624	False
4355290	CP020641.1	9457426	0	1	False
4356312	CP020637.1	33237684	0	1	False
4356696	CP020634.1	24173689	0	1	False
4356886	CP020623.1	19242924	0	1	False
4357754	CP020627.1	32358957	0	1	False
4358188	CP020630.1	11376916	0	1	False
4359036	CP020634.1	7428137	0.0107527	1	False
4359079	CP020633.1	5218703	-0.0645161	0.47938	False
4359250	CP020626.1	3973516	-0.0849462	0.67572	False
4359330	CP020631.1	9616567	0	1	False
4359967	CP020637.1	32007205	0.278495	0.0544588	False
4360664	CP020638.1	21460311	0	1	False
4360986	CP020626.1	25404950	-0.011828	1	False
4361305	CP020622.1	5940933	0.0741935	0.709715	False
4361835	CP020623.1	8955377	0.21828	0.126332	False
4361989	CP020635.1	29822064	-0.0322581	1	False
4362351	CP020644.1	11554852	-0.055914	0.839507	False
4362450	CP020632.1	15668779	0	1	False
4362682	CP020636.1	24053968	-0.156989	0.234324	False
4365128	CP020640.1	16433177	0.0817204	0.699265	False
4365725	CP020638.1	1440770	-0.0580645	0.810625	False
4365830	CP020636.1	29466034	0	1	False
4366155	CP020638.1	1949655	-0.0247312	1	False
4366445	CP020631.1	4363419	-0.0290322	1	False
4366509	CP020622.1	23002589	-0.0645161	0.47938	False
4366717	CP020634.1	8399521	0.143011	0.367817	False
4367134	CP020628.1	4944882	0.044086	0.922566	False
4367413	CP020621.1	4265710	0.0354839	0.963377	False
4367780	CP020636.1	15010997	-0.108602	0.519773	False
4368936	CP020626.1	5997853	-0.016129	1	False
4370018	CP020631.1	27513399	0	1	False
4371073	CP020635.1	18576505	-0.313979	0.0261246	False
4372522	CP020632.1	26784013	0	1	False
4372575	CP020641.1	31282717	-0.0623656	0.693026	False
4373541	CP020626.1	17774689	-0.280645	0.0508666	False
4373622	CP020621.1	13521031	-0.0301076	1	False
4373725	CP020636.1	21985490	0	1	False
4374022	CP020627.1	27811463	-0.0849462	0.67572	False
